AT-Nr. / AT-No. ,Ref-Nr./ ID-No. * ,Hersteller / Manufacturer ,Testname / Test name ,Zielantigen / target antigen ,Cq <25 ,Cq 25-30 ,Cq >30 ,Gesamt- Sensitvität / total sensitivity ,
AT001/21 ,n.a. ,"Xiamen Jiqing Biomedical Technology Co., Ltd. ",Gruenbanka SARS-CoV-2 Antigen detection Kit (colloidal gold method) ,N ,"25,0% ","0,0% ","0,0% ","10,0% ",
AT002/20 ,B25SY0E1L ,Unioninvest ,Unibioscience COVID-19 Rapid Antigen Test ,N ,"0,0% ","0,0% ","0,0% ","0,0% ",
AT007/20 ,3011030 ,Mexacare GmbH Heidelberg ,QuickTestCorona COVID-19 Antigen Schnelltest ,N ,"52,9% ","4,3% ","0,0% ","20,0% ",
AT012/21 ,n.a. ,"Xiamen Zhongsheng Langjie Biotechnology Co., Ltd ",Covid-19 Antigen Test Cassette ,N ,"11,8% ","0,0% ","0,0% ","4,0% ",
AT013/20 ,n.a. ,"RapiGEN, Inc. ",Biocredit COVID-19 Ag ,n.a. ,"16,7% ","0,0% ","0,0% ","6,0% ",
AT015/20 ,K511416D ,"Hangzhou Realy Tech Co., Ltd. ",Novel Coronavirus (SARS-Cov-2) Antigen Rapid Test Cassette (swab) ,n.a. ,"58,8% ","0,0% ","0,0% ","20,0% ",
AT036/20 ,C34800-100 ,Servoprax GmbH ,Cleartest Corona-Antigen ,n.a. ,"66,7% ","0,0% ","0,0% ","24,0% ",
AT041/20 ,INCP-C81-20 ,"Hangzhou Biotest Biotech Co., Ltd. ",Lumiratek SARS-CoV-2 Antigen Rapid Test Cassette ,N ,"29,4% ","0,0% ","0,0% ","10,0% ",
AT046/20 ,G10313 ,"Joysbio (Tianjin) Biotechnology Co., Ltd. ",Joysbio SARS-CoV-2 Antigen Rapid Test Kit (Colloidal Gold) ,N ,"47,1% ","4,3% ","0,0% ","18,0% ",
AT048/20 ,C-1023 ,Coris BioConcept ,COVID-19 Ag Respi-Strip ,N ,"33,3% ","0,0% ","0,0% ","12,0% ",
AT051/20 ,SC820001PC ,CertestT Biotec S. L. ,CerTest Biotec SARS-CoV-2 Ag Test ,N ,"29,4% ","0,0% ","0,0% ","10,0% ",
AT054/20 ,INCP-ACO502 ,"Acro Biotech, Inc. ",Acro COVID-19 Antigen Rapid Test ,n.a. ,"16,7% ","0,0% ","0,0% ","6,0% ",
AT062/20 ,VCD05-01-011 ,"VivaChek Biotech (Hangzhou) Co., Ltd. ",VivaDiag SARS-CoV-2 Ag Rapid Test ,N ,"50,0% ","0,0% ","0,0% ","18,0% ",
AT088/21 ,K590516D ,"Hangzhou Realy Tech Co., Ltd. ",Heinzer Antigen Covid19 Spucktest Schnelltest [Original Name: Novel Coronavirus (SARS-CoV-2) Antigen Rapid Test Device (saliva)] ,N+S ,"65,0% ","5,0% ","0,0% ","28,0% ",
AT128/20 ,n.a. ,TaiDoc Technology Corporation ,FORA COVID-19 ANTIGEN RAPID TEST ,N ,"27,8% ","0,0% ","0,0% ","10,0% ",
