AT-Nr. / AT-No.,AT-Nr. Selbsttest / AT-No. selftest,Cq 25-30,Cq <25,Cq >30,Gesamt- Sensitvität / total sensitivity,Hersteller / Manufacturer,Ref-Nr./ ID-No.,Testname / Test name,Zielantigen / target antigen
AT001/20,AT1208/21,"87,0%","100,0%","0,0%","76,0%",Healgen Scientific Limited Liability Company (Siemens Healthineers),GCCOV-502a-H5,CLINITESTR Rapid COVID-19 Antigen Test,N
AT001/21,,"0,0%","25,0%","0,0%","10,0%","Xiamen Jiqing Biomedical Technology Co., Ltd.",n.a.,Gruenbanka SARS-CoV-2 Antigen detection Kit (colloidal gold method),N
AT002/20,,"0,0%","0,0%","0,0%","0,0%",Unioninvest,B25SY0E1L,Unibioscience COVID-19 Rapid Antigen Test,N
AT005/20,,"60,9%","100,0%","0,0%","64,0%",Abbott Rapid Diagnostics Jena GmbH,41FK10,Panbio TM COVID-19 Ag Rapid Test Device (NASOPHARYNGEAL),N
AT007/20,,"4,3%","52,9%","0,0%","20,0%",Mexacare GmbH Heidelberg,3011030,QuickTestCorona COVID-19 Antigen Schnelltest,N
AT007/21,,"30,4%","100,0%","0,0%","48,0%",BIOMERICA Inc.,1509A-I,COVID-19-Antigen-Schnelltest (Nasopharyngeal-Abstrich),N
AT008/20,,"17,4%","100,0%","0,0%","44,0%",R-Biopharm AG,N6803,RIDA®QUICK SARS-CoV-2 Antigen,N
AT010/20,,"73,9%","100,0%","0,0%","68,0%","Sugentech, Inc.",CAGT025E0,SGTi-flex COVID-19 Ag,N
AT011/20,AT1228/21,"17,4%","94,4%","0,0%","42,0%","Hangzhou Laihe Biotech Co., Ltd. (Lissner Qi GmbH)",n.a.,Lyher Novel Coronavirus (COVID-19) Antigen Test Kit (Colloidal Gold),N
AT012/20,,"47,8%","100,0%","0,0%","58,0%",MEDsan GmbH,76748,MEDsan® SARS-CoV-2 Antigen Rapid Test,N
AT012/21,,"0,0%","11,8%","0,0%","4,0%","Xiamen Zhongsheng Langjie Biotechnology Co., Ltd",n.a.,Covid-19 Antigen Test Cassette,N
AT013/20,,"0,0%","16,7%","0,0%","6,0%","RapiGEN, Inc.",G61RHA20,Biocredit COVID-19 Ag,n.a.
AT014/20,,"65,2%","100,0%","0,0%","66,0%",BIONOTE,RG1901DG,NowCheck® COVID-19 Ag Test,N
AT015/20,,"0,0%","58,8%","0,0%","20,0%","Hangzhou Realy Tech Co., Ltd.",K511416D,Novel Coronavirus (SARS-Cov-2) Antigen Rapid Test Cassette (swab),n.a.
AT018/20,,"8,7%","83,3%","0,0%","34,0%",Green Cross Medical Science Corp. (Weko Pharma GmbH),n.a.,Genedia W Covid-19 Ag,N
AT018/21,,"45,0%","100,0%","0,0%","58,0%",Abioteq,n.a.,Cora Gentest-19,N
AT019/20,,"26,1%","94,4%","0,0%","46,0%",GenBody Inc.,COVAG025,GenBody COVID-19 Ag,N
AT021/20,AT1293/21,"13,0%","83,3%","0,0%","36,0%",nal von minden gmbh,243103N-20,NADAL® COVID-19 Ag Schnelltest,N
AT022/20,,"65,2%","100,0%","0,0%","66,0%","SD Biosensor, Inc.",F-NCOV-01G,STANDARD F COVID-19 Ag FIA,N
AT022/21,,"78,3%","100,0%","0,0%","72,0%","Beijing Wantai Biological Pharmacy Enterprise Co., Ltd.",WJ-2850,Wantai SARS-CoV-2 Ag Rapid Test (FIA),N
AT023/20 (AT004/20),AT1154/21,"30,4%","88,9%","0,0%","46,0%","SD Biosensor, Inc. (Roche Diagnostics GmbH)",Q-NCOV-01G (9901-NCOV-01G),STANDARD Q COVID-19 Ag Test (SARS-CoV-2 Rapid Antigen Test),N
AT025/20,,"78,3%","100,0%","11,1%","74,0%",BIOSYNEX SWISS SA,SW4000605,BIOSYNEX COVID-19 Ag BSS,N
AT029/20,,"21,7%","100,0%","0,0%","46,0%",Fujirebio Inc. (Mast Diagnostica GmbH),231906,ESPLINE® SARS-CoV-2,N
AT031/20,AT1190/21 AT1288/21,"39,1%","100,0%","0,0%","52,0%","Anhui Deepblue Medical Technology Co., Ltd.",n.a.,COVID-19 (SARS CoV-2) Antigen Test Kit (Colloidal Gold),N
AT032/20,,"34,8%","100,0%","0,0%","50,0%",Edinburgh Genetics Limited,EGCV0101B,Edinburgh Genetics ActivXpress+ COVID-19 Antigen Complete Testing Kit,N
AT033/20,,"78,3%","100,0%","0,0%","70,0%",Ameda Labordiagnostik GmbH,RT2952,AMP Rapid Test SARS-CoV-2 Ag,N
AT036/20,,"0,0%","66,7%","0,0%","24,0%",Servoprax GmbH,C34800-100,Cleartest Corona-Antigen,n.a.
AT036/21,,"21,7%","94,1%","0,0%","42,0%",Novatech Tibbi Cihaz Ürünleri San. Ve Tic C.A.S.,MY28,novacheck®-Ag SARS-CoV-2 Covid-19 Antigen Rapid Test,N
AT039/20,,"87,0%","100,0%","0,0%","76,0%","Zhejiang Orient Gene Biotech Co.,Ltd",GCCOV-502a,Coronavirus Ag Rapid Test Cassette (Swab),N
AT041/20,,"0,0%","29,4%","0,0%","10,0%","Hangzhou Biotest Biotech Co., Ltd.",INCP-C81-20,Lumiratek SARS-CoV-2 Antigen Rapid Test Cassette,N
AT044/21,,"87,0%","100,0%","20,0%","78,0%","Triplex International Biosciences (China) Co., Ltd.",C011906,SARS-CoV-2 Antigen Rapid Test Kit,N
AT046/20,,"4,3%","47,1%","0,0%","18,0%","Joysbio (Tianjin) Biotechnology Co., Ltd.",G10313,Joysbio SARS-CoV-2 Antigen Rapid Test Kit (Colloidal Gold),N
AT047/20,,"47,8%","100,0%","0,0%","58,0%",Mölab GmbH,0230005SP,mö-screen Corona Antigen Test,N
AT048/20,,"0,0%","33,3%","0,0%","12,0%",Coris BioConcept,C-1023,COVID-19 Ag Respi-Strip,N
AT051/20,,"0,0%","29,4%","0,0%","10,0%",CertestT Biotec S. L.,SC820001PC,CerTest Biotec SARS-CoV-2 Ag Test,N
AT054/20,,"0,0%","16,7%","0,0%","6,0%","Acro Biotech, Inc.",INCP-ACO502,Acro COVID-19 Antigen Rapid Test,n.a.
AT060/20,,"78,3%","100,0%","0,0%","70,0%","Hangzhou Lysun Biotechnology Co., Ltd.",COV-201,Lysun COVID-19 Antigen Rapid Test Device (Colloidal Gold),N
AT061/20,,"13,0%","76,5%","20,0%","36,0%",Azure Biotech Inc.,B62000,Dia Sure Covid-19 Antigen Rapid Test Device (Nasopharyngeal/Oropharyngeal Swab),N
AT062/20,,"0,0%","50,0%","0,0%","18,0%","VivaChek Biotech (Hangzhou) Co., Ltd.",VCD05-01-011,VivaDiag SARS-CoV-2 Ag Rapid Test,N
AT069/20,,"91,3%","100,0%","10,0%","78,0%",ScheBo Biotech AG,34,ScheBo SARS-CoV-2 Quick Antigen,N
AT070/20,,"47,8%","100,0%","10,0%","58,0%","Shenzhen Microprofit Biotech Co., Ltd.",MF-60,fluorecare COVID-19 SARS-CoV-2 Spike Protein Test Kit (Colloidal Gold Chromatographic Immunoassay),S
AT071/20,,"85,0%","100,0%","10,0%","76,0%","Shenzhen Microprofit Biotech Co., Ltd.",MF-63,SARS-CoV-2 Spike Protein Test Kit (Fluorescence Immunoassay),S
AT074/20,,"0,0%","77,8%","0,0%","28,0%","Beijing Beier Bioengineering Co., Ltd.",n.a.,Covid-19 Antigen Schnelltest,N
AT075/20,,"52,2%","100,0%","0,0%","60,0%",LumiraDX,SPEC-32312 R2 ART-00571 R4,LumiraDx SARS-CoV-2 Ag Test,N
AT075/21,,"95,7%","100,0%","20,0%","82,0%",ulti med Products (Deutschland) GmbH,012G521,COVID-19 Antigen Speicheltest (Immunochromatographie),N
AT078/20,,"60,9%","100,0%","0,0%","64,0%",Precision Biosensor Inc. (Axon Lab AG),PR-FC13,Exdia COVID-19-Ag-Test,N
AT079/20,,"34,8%","94,4%","0,0%","50,0%","Hangzhou Clongene Biotech Co., Ltd.",2020110090,Clungene COVID-19 Antigen Rapid Test,N
AT082/20,,"47,8%","100,0%","0,0%","56,0%","Hangzhou Testsea Biotechnology Co., Ltd",n.a.,Testsealabs Rapid Test Kit COVID-19 Antigen Test Cassette,N
AT083/20,,"21,7%","88,2%","0,0%","40,0%","Humasis Co., Ltd.",ACOVA-7025,Humasis COVID-19 Ag Test,N+S
AT084/21,,"75,0%","100,0%","0,0%","70,0%",AccuBioTech Co. Ltd.,ABT-IDTB367,Accu-Tell Rapid In-vitro Diagnostiktest,N
AT085/21,,"39,1%","100,0%","10,0%","54,0%",DNA Diagnostic A/S.,CV19IC,Covid-19 Antigen Detection Kit,N
AT086/20,AT1158/21,"52,2%","100,0%","11,1%","62,0%","Guangdong Wesail Biotech Co., Ltd.",BE0040,COVID-19 Ag Test Kit,N
AT088/21,,"5,0%","65,0%","0,0%","28,0%","Hangzhou Realy Tech Co., Ltd.",K590516D,Heinzer Antigen Covid19 Spucktest Schnelltest [Original Name: Novel Coronavirus (SARS-CoV-2) Antigen Rapid Test Device (saliva)],N+S
AT090/20,,"8,7%","88,2%","0,0%","34,0%",NanoEntek Inc,FRCOG 020P,FREND TM COVID-19 Ag,N
AT1010/21,,"35,0%","100,0%","0,0%","54,0%","Changzhou Biowin Pharmaceutical Co.,Ltd.",n.a.,Novel Coronavirus(COVID-19) Antigen Test Kit (Colloidal Gold),N
