AT-Nr. / AT-No. ,Ref-Nr./ ID-No. * ,Hersteller / Manufacturer ,Testname / Test name ,Zielantigen / target antigen ,Cq <25 ,Cq 25-30 ,Cq >30 ,Gesamt- - Sensitvität / total sensitivity ,
AT001/20 ,GCCOV-502a-H5 ,Healgen Scientific Limited Liability Company (Siemens Healthineers) ,CLINITESTR Rapid COVID-19 Antigen Test ,N ,"100,0% ","87,0% ","0,0% ","76,0% ",
AT005/20 ,41FK10 ,Abbott Rapid Diagnostics Jena GmbH ,Panbio¹ TM COVID-19 Ag Rapid Test Device (NASOPHARYNGEAL) ,N ,"100,0% ","60,9% ","0,0% ","64,0% ",
AT007/21 ,1509A-I ,BIOMERICA Inc. ,COVID-19-Antigen-Schnelltest (Nasopharyngeal-Abstrich) ,N ,"100,0% ","30,4% ","0,0% ","48,0% ",
AT008/20 ,N6803 ,R-Biopharm AG ,RIDA®QUICK SARS-CoV-2 Antigen ,N ,"100,0% ","17,4% ","0,0% ","44,0% ",
AT010/20 ,CAGT025E0 ,"Sugentech, Inc. ",SGTi-flex COVID-19 Ag ,N ,"100,0% ","73,9% ","0,0% ","68,0% ",
AT011/20 ,n.a. ,"Hangzhou Laihe Biotech Co., Ltd. (Lissner Qi GmbH) ",Lyher Novel Coronavirus (COVID-19) Antigen Test Kit (Colloidal Gold) ,N ,"94,4% ","17,4% ","0,0% ","42,0% ",
AT012/20 ,76748 ,MEDsan GmbH ,MEDsan® SARS-CoV-2 Antigen Rapid Test ,N ,"100,0% ","47,8% ","0,0% ","58,0% ",
AT014/20 ,RG1901DG ,BIONOTE ,NowCheck® COVID-19 Ag Test ,N ,"100,0% ","65,2% ","0,0% ","66,0% ",
AT018/20 ,n.a. ,Green Cross Medical Science Corp. (Weko Pharma GmbH) ,Genedia W Covid-19 Ag ,N ,"83,3% ","8,7% ","0,0% ","34,0% ",
AT018/21 ,n.a. ,Abioteq ,Cora Gentest-19 ,N ,"100,0% ","45,0% ","0,0% ","58,0% ",
AT019/20 ,COVAG025 ,GenBody Inc. ,GenBody COVID-19 Ag ,N ,"94,4% ","26,1% ","0,0% ","46,0% ",
AT021/20 ,243103N-20 ,nal von minden gmbh ,NADAL COVID-19 Ag Schnelltest ,N ,"83,3% ","13,0% ","0,0% ","36,0% ",
AT022/20 ,F-NCOV-01G ,"SD Biosensor, Inc. ",STANDARD F COVID-19 Ag FIA ,N ,"100,0% ","65,2% ","0,0% ","66,0% ",
AT022/21 ,WJ-2850 ,"Beijing Wantai Biological Pharmacy Enterprise Co., Ltd. ",Wantai SARS-CoV-2 Ag Rapid Test (FIA) ,N ,"100,0% ","78,3% ","0,0% ","72,0% ",
AT023/20 (AT004/20) ,Q-NCOV-01G (9901-NCOV-01G) ,"SD Biosensor, Inc. (Roche Diagnostics GmbH) ",STANDARD Q COVID-19 Ag Test (SARS-CoV-2 Rapid Antigen Test) ,N ,"88,9% ","30,4% ","0,0% ","46,0% ",
AT025/20 ,SW4000605 ,BIOSYNEX SWISS SA ,BIOSYNEX COVID-19 Ag BSS ,N ,"100,0% ","78,3% ","11,1% ","74,0% ",
AT029/20 ,231906 ,Fujirebio Inc. (Mast Diagnostica GmbH) ,ESPLINE® SARS-CoV-2 ,N ,"100,0% ","21,7% ","0,0% ","46,0% ",
AT031/20 ,n.a. ,"Anhui Deepblue Medical Technology Co. , Ltd. ",COVID-19 (SARS CoV-2) Antigen Test Kit (Colloidal Gold) ,N ,"100,0% ","39,1% ","0,0% ","52,0% ",
AT032/20 ,EGCV0101B ,Edinburgh Genetics Limited ,Edinburgh Genetics ActivXpress+ COVID-19 Antigen Complete Testing Kit ,N ,"100,0% ","34,8% ","0,0% ","50,0% ",
AT033/20 ,RT2952 ,Ameda Labordiagnostik GmbH ,AMP Rapid Test SARS-CoV-2 Ag ,N ,"100,0% ","78,3% ","0,0% ","70,0% ",
AT036/21 ,MY28 ,Novatech Tibbi Cihaz Ürünleri San. Ve Tic.A.S. ,novacheck®-Ag SARS-CoV-2 Covid-19 Antigen Rapid Test ,N ,"94,1% ","21,7% ","0,0% ","42,0% ",
AT039/20 ,GCCOV-502a ,"Zhejiang Orient Gene Biotech Co.,Ltd ",Coronavirus Ag Rapid Test Cassette (Swab) ,N ,"100,0% ","87,0% ","0,0% ","76,0% ",
AT044/21 ,C011906 ,"Triplex International Biosciences (China) Co., Ltd. ",SARS-CoV-2 Antigen Rapid Test Kit ,N ,"100,0% ","87,0% ","20,0% ","78,0% ",
AT047/20 ,0230005SP ,Mölab GmbH ,mö-screen Corona Antigen Test ,N ,"100,0% ","47,8% ","0,0% ","58,0% ",
AT060/20 ,COV-201 ,"Hangzhou Lysun Biotechnology Co., Ltd. ",Lysun COVID-19 Antigen Rapid Test Device (Colloidal Gold) ,N ,"100,0% ","78,3% ","0,0% ","70,0% ",
AT061/20 ,B62000 ,Azure Biotech Inc. ,Dia Sure Covid-19 Antigen Rapid Test Device (Nasopharyngeal/Oropharyngeal Swab) ,N ,"76,5% ","13,0% ","20,0% ","36,0% ",
AT069/20 ,34 ,ScheBo Biotech AG ,ScheBo SARS-CoV-2 Quick Antigen ,N ,"100,0% ","91,3% ","10,0% ","78,0% ",
AT070/20 ,MF-60 ,"Shenzhen Microprofit Biotech Co., Ltd. ",fluorecare COVID-19 SARS-CoV-2 Spike Protein Test Kit (Colloidal Gold Chromatographic Immunoassay) ,S ,"100,0% ","47,8% ","10,0% ","58,0% ",
AT071/20 ,MF-63 ,"Shenzhen Microprofit Biotech Co., Ltd. ",SARS-CoV-2 Spike Protein Test Kit (Fluorescence Immunoassay) ,S ,"100,0% ","85,0% ","10,0% ","76,0% ",
AT074/20 ,n.a. ,"Beijing Beier Bioengineering Co., Ltd. ",Covid-19 Antigen Schnelltest ,N ,"77,8% ","0,0% ","0,0% ","28,0% ",
AT075/20 ,SPEC-32312 R2 ART-00571 R4 ,LumiraDX ,LumiraDx SARS-CoV-2 Ag Test ,N ,"100,0% ","52,2% ","0,0% ","60,0% ",
AT075/21 ,012G521 ,ulti med Products (Deutschland) GmbH ,COVID-19 Antigen Speicheltest (Immunochromatographie) ,N ,"100,0% ","95,7% ","20,0% ","82,0% ",
AT078/20 ,PR-FC13 ,Precision Biosensor Inc. (Axon Lab AG) ,Exdia COVID-19-Ag-Test ,N ,"100,0% ","60,9% ","0,0% ","64,0% ",
AT079/20 ,2020110090 ,"Hangzhou Clongene Biotech Co., Ltd. ",Clungene COVID-19 Antigen Rapid Test ,N ,"94,4% ","34,8% ","0,0% ","50,0% ",
AT082/20 ,n.a. ,"Hangzhou Testsea Biotechnology Co., Ltd ",Testsealabs® Rapid Test Kit COVID-19 Antigen Test Cassette ,N ,"100,0% ","47,8% ","0,0% ","56,0% ",
AT083/20 ,ACOVA-7025 ,"Humasis Co., Ltd. ",Humasis COVID-19 Ag Test ,N+S ,"88,2% ","21,7% ","0,0% ","40,0% ",
AT084/21 ,ABT-IDTB367 ,"AccuBioTech Co.,Ltd. ",Accu-Tell Rapid In-vitro Diagnostiktest ,N ,"100,0% ","75,0% ","0,0% ","70,0% ",
AT085/21 ,CV19IC ,DNA Diagnostic A/S. ,Covid-19 Antigen Detection Kit ,N ,"100,0% ","39,1% ","10,0% ","54,0% ",
AT086/20 ,BE0040 ,"Guangdong Wesail Biotech Co., Ltd. ",COVID-19 Ag Test Kit ,N ,"100,0% ","52,2% ","11,1% ","62,0% ",
